kegg.names labels type x y width height X8hTrt_8hCult1 X8hTrt_8hCult2 X8hTrt_8hCult1.col X8hTrt_8hCult2.col
56 231 AKR1B1 gene 179 148 46 17 -0.51315845 0.081470869 #5FDF5F #BEBEBE
57 6652 SORD gene 198 184 46 17 NA NA #FFFFFF #FFFFFF
59 3795 KHK gene 310 968 46 17 -0.061102447 0.189231015 #BEBEBE #BEBEBE
64 29085 PHPT1 gene 382 220 46 17 -0.117969604 -0.096992653 #BEBEBE #BEBEBE
69 3098 HK1 gene 310 306 46 17 -1.122951001 -0.985587451 #00FF00 #00FF00
72 3098 HK1 gene 473 265 46 17 -1.122951001 -0.985587451 #00FF00 #00FF00
74 5207 PFKFB1 gene 801 252 46 17 0.464724859 0.69472094 #DF5F5F #EF3030
77 4351 MPI gene 643 307 46 17 0.091162304 -0.085103133 #BEBEBE #BEBEBE
78 5372 PMM1 gene 397 338 46 17 0.23107546 -0.039212655 #CE8F8F #BEBEBE
80 8790 FPGT gene 397 633 46 17 -0.318492378 -0.027361169 #8FCE8F #BEBEBE
81 7264 TSTA3 gene 397 566 46 17 -0.175243589 -0.1473427 #BEBEBE #BEBEBE
82 2762 GMDS gene 397 501 46 17 -0.142103882 0.058915009 #BEBEBE #BEBEBE
83 29925 GMPPB gene 372 409 46 17 0.50724029 0.083982487 #DF5F5F #BEBEBE
87 5211 PFKL gene 864 401 46 17 -0.15258976 0.072598397 #BEBEBE #BEBEBE
92 7167 TPI1 gene 823 670 46 17 -0.070039204 -0.02728561 #BEBEBE #BEBEBE
93 226 ALDOA gene 523 972 46 17 -0.230813808 0.094586017 #8FCE8F #BEBEBE
95 226 ALDOA gene 823 576 46 17 -0.230813808 0.094586017 #8FCE8F #BEBEBE
104 2203 FBP1 gene 779 401 46 17 -0.450871268 -0.030641243 #5FDF5F #BEBEBE
116 197258 FUK gene 310 666 46 17 NA NA #FFFFFF #FFFFFF
198 55556 ENOSF1 gene 447 767 46 17 -0.063702169 -0.075974596 #BEBEBE #BEBEBE
