kegg.names labels type x y width height exp1 exp2 exp1.col exp2.col
25 C04088 C04088 compound 1239 671 8 8 NA NA #FFFFFF #FFFFFF
26 C16221 C16221 compound 1239 559 8 8 NA NA #FFFFFF #FFFFFF
27 C16220 C16220 compound 1239 468 8 8 NA NA #FFFFFF #FFFFFF
28 C16219 C16219 compound 1239 375 8 8 NA NA #FFFFFF #FFFFFF
29 C00712 C00712 compound 1352 762 8 8 NA NA #FFFFFF #FFFFFF
30 C01530 C01530 compound 1239 762 8 8 -1.89118413228771 -0.278564642410148 #0000FF #9E9EDE
31 C08362 C08362 compound 1139 762 8 8 -0.184435004475546 -0.553314044511471 #D3D3D3 #6A6AE9
32 C01203 C01203 compound 1352 671 8 8 NA NA #FFFFFF #FFFFFF
33 C16520 C16520 compound 1139 671 8 8 NA NA #FFFFFF #FFFFFF
34 C06424 C06424 compound 870 762 8 8 NA NA #FFFFFF #FFFFFF
35 C02679 C02679 compound 729 762 8 8 -0.11377084479406 1.28099830586256 #D3D3D3 #FFFF00
36 C01571 C01571 compound 587 762 8 8 NA NA #FFFFFF #FFFFFF
37 C06423 C06423 compound 445 762 8 8 NA NA #FFFFFF #FFFFFF
155 C00024 C00024 compound 162 126 8 8 NA NA #FFFFFF #FFFFFF
156 C00083 C00083 compound 275 179 8 8 0.530072439966752 0.907353156986738 #E9E96A #FFFF00
157 C01209 C01209 compound 275 274 8 8 NA NA #FFFFFF #FFFFFF
158 C03939 C03939 compound 162 254 8 8 -1.78523497006304 -0.612553021067622 #0000FF #3535F4
159 C05744 C05744 compound 162 375 8 8 NA NA #FFFFFF #FFFFFF
160 C04618 C04618 compound 162 468 8 8 NA NA #FFFFFF #FFFFFF
161 C04246 C04246 compound 162 559 8 8 NA NA #FFFFFF #FFFFFF
162 C05745 C05745 compound 162 671 8 8 NA NA #FFFFFF #FFFFFF
163 C00229 C00229 compound 310 196 8 8 0.469245105796009 -0.457980374002247 #E9E96A #6A6AE9
164 C05746 C05746 compound 303 375 8 8 NA NA #FFFFFF #FFFFFF
165 C05747 C05747 compound 303 468 8 8 NA NA #FFFFFF #FFFFFF
166 C05748 C05748 compound 303 559 8 8 NA NA #FFFFFF #FFFFFF
167 C05749 C05749 compound 303 671 8 8 NA NA #FFFFFF #FFFFFF
168 C05752 C05752 compound 445 671 8 8 NA NA #FFFFFF #FFFFFF
169 C05751 C05751 compound 445 559 8 8 NA NA #FFFFFF #FFFFFF
170 C04620 C04620 compound 445 468 8 8 NA NA #FFFFFF #FFFFFF
171 C05750 C05750 compound 445 375 8 8 NA NA #FFFFFF #FFFFFF
172 C05753 C05753 compound 587 375 8 8 NA NA #FFFFFF #FFFFFF
173 C04619 C04619 compound 587 468 8 8 NA NA #FFFFFF #FFFFFF
174 C05754 C05754 compound 587 559 8 8 NA NA #FFFFFF #FFFFFF
175 C05755 C05755 compound 587 671 8 8 -0.445264216479563 0.126322448463409 #6A6AE9 #D3D3D3
176 C05223 C05223 compound 729 671 8 8 NA NA #FFFFFF #FFFFFF
177 C05758 C05758 compound 729 559 8 8 NA NA #FFFFFF #FFFFFF
178 C05757 C05757 compound 729 468 8 8 NA NA #FFFFFF #FFFFFF
179 C05756 C05756 compound 729 375 8 8 NA NA #FFFFFF #FFFFFF
180 C05759 C05759 compound 870 375 8 8 NA NA #FFFFFF #FFFFFF
181 C04688 C04688 compound 870 468 8 8 NA NA #FFFFFF #FFFFFF
182 C05760 C05760 compound 870 559 8 8 NA NA #FFFFFF #FFFFFF
183 C05761 C05761 compound 870 671 8 8 NA NA #FFFFFF #FFFFFF
184 C00249 C00249 compound 1012 762 8 8 0.0728825526547142 0.35293938629312 #D3D3D3 #DEDE9E
185 C05764 C05764 compound 1012 671 8 8 NA NA #FFFFFF #FFFFFF
186 C05763 C05763 compound 1012 559 8 8 NA NA #FFFFFF #FFFFFF
187 C04633 C04633 compound 1012 468 8 8 NA NA #FFFFFF #FFFFFF
188 C05762 C05762 compound 1012 375 8 8 1.85058214296762 1.38090192218887 #FFFF00 #FFFF00
290 C04180 C04180 compound 536 739 8 8 NA NA #FFFFFF #FFFFFF
291 C20794 C20794 compound 536 818 8 8 NA NA #FFFFFF #FFFFFF
294 C00154 C00154 compound 1012 852 8 8 0.0830035534982612 0.0338188839598624 #D3D3D3 #D3D3D3
