kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
56 231 AKR1B1 gene 179 148 46 17 -1.16076458287628 -1.31900169333488 1.05221806970793 #00FF00 #00FF00 #FF0000
57 6652 SORD gene 198 184 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
59 3795 KHK gene 310 968 46 17 -0.218506012995562 0.238777500278643 0.0593063934996279 #9EDE9E #DE9E9E #D3D3D3
69 3098 HK1 gene 310 306 46 17 0.736322725465103 0.614081286968101 0.608808384948644 #F43535 #F43535 #F43535
72 3098 HK1 gene 473 265 46 17 0.736322725465103 0.614081286968101 0.608808384948644 #F43535 #F43535 #F43535
74 5207 PFKFB1 gene 801 252 46 17 1.69319739721097 0.613002193521506 0.394277242973783 #FF0000 #F43535 #DE9E9E
77 4351 MPI gene 643 307 46 17 -0.00478400534792822 0.0978701312692918 -0.0136081293453172 #D3D3D3 #D3D3D3 #D3D3D3
78 5372 PMM1 gene 397 338 46 17 -0.51036546971038 0.495898332398008 -0.322422233583273 #6AE96A #E96A6A #9EDE9E
80 8790 FPGT gene 397 633 46 17 0.381156828339877 0.235490354018782 -0.0857358145340825 #DE9E9E #DE9E9E #D3D3D3
81 7264 TSTA3 gene 397 566 46 17 0.327777748740264 1.7059166617768 0.112293456516102 #DE9E9E #FF0000 #D3D3D3
82 2762 GMDS gene 397 501 46 17 0.377590695990648 0.0674586968448727 -0.0436182516096011 #DE9E9E #D3D3D3 #D3D3D3
83 29925 GMPPB gene 372 409 46 17 -0.046443130380915 0.881376287672671 0.551840298613241 #D3D3D3 #FF0000 #E96A6A
87 5211 PFKL gene 864 401 46 17 -1.6437603397521 -0.248543197225825 1.02894927523458 #00FF00 #9EDE9E #FF0000
92 7167 TPI1 gene 823 670 46 17 0.132318537962421 0.78380039569006 0.365042332375278 #D3D3D3 #F43535 #DE9E9E
93 226 ALDOA gene 523 972 46 17 -0.388237477631728 0.594445759055217 0.700600330758449 #9EDE9E #E96A6A #F43535
95 226 ALDOA gene 823 576 46 17 -0.388237477631728 0.594445759055217 0.700600330758449 #9EDE9E #E96A6A #F43535
104 2203 FBP1 gene 779 401 46 17 0.688871918821174 0.0365654182199666 -0.431164688223347 #F43535 #D3D3D3 #6AE96A
116 197258 FUK gene 310 666 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
198 55556 ENOSF1 gene 447 767 46 17 0.377405691113024 0.595941063850862 -0.379018317548342 #DE9E9E #E96A6A #9EDE9E
