kegg.names	labels	all.mapped	type	x	y	width	height	HN_1	DCIS_1	HN_2	DCIS_2	HN_3	DCIS_3	HN_4	DCIS_4	HN_5	DCIS_5	HN_6	DCIS_6	HN_1.col	DCIS_1.col	HN_2.col	DCIS_2.col	HN_3.col	DCIS_3.col	HN_4.col	DCIS_4.col	HN_5.col	DCIS_5.col	HN_6.col	DCIS_6.col
13	226	ALDOA	226,229,230	gene	483	407	46	17	25.1448210828738	24.7565836052421	24.581650127385	25.1760958864401	23.1521967240432	23.8527970548016	24.2309967743586	25.1150524940679	25.0563202209851	25.1217888596401	25.1000453935415	25.3722476701249	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
37	217	ALDH2	217,219,223,224,501	gene	284	943	46	17	42.0600272509232	41.5817639344255	46.5743277945036	42.2281914993621	44.9579973937378	42.6456185727494	43.067194821838	41.4778082201172	46.5190642491368	45.5759174256953	46.3318236209789	45.261075793723	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
39	218	ALDH3A1	218,220,221,222	gene	259	964	46	17	31.4134687708891	30.3056452354589	30.2561333028737	31.2423687736504	29.0439231078795	32.1768350090802	31.2922230711104	30.0464753488369	31.5830293599721	30.9410659089381	30.3283116877939	32.1037095940259	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
44	10327	AKR1A1	10327	gene	487	943	46	17	9.39762643499098	9.56299052619828	8.89800647755556	9.54153806850692	8.44523896458016	9.25378823895384	9.35472140533624	10.0641908374271	8.50914880423324	8.72460039190352	8.58643457581959	8.82721399757845	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
45	124	ADH1A	124,125,126,128,130,131	gene	439	936	46	17	43.7997150546048	43.1215811112335	44.1752167882686	42.8256353583269	44.7509416125788	43.6283124773275	43.4099598361749	43.3214831599686	44.5513829087871	44.5065823938471	45.1795406356594	44.6212423063972	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
47	5160	PDHA1	5160,5161,5162	gene	431	853	46	17	23.6954051392769	25.3146932695115	24.5284228755514	24.8331626980806	24.6299384999926	24.7443499588907	23.0958001665804	25.0418781959589	25.2951983128509	25.1021414902485	25.065893046484	25.3468491475764	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
48	5160	PDHA1	5160,5161,5162	gene	319	865	46	17	23.6954051392769	25.3146932695115	24.5284228755514	24.8331626980806	24.6299384999926	24.7443499588907	23.0958001665804	25.0418781959589	25.2951983128509	25.1021414902485	25.065893046484	25.3468491475764	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
49	1737	DLAT	1737	gene	210	865	46	17	6.84904295972105	7.06008427641519	7.14083562275867	7.35307561728441	7.00789777389815	6.98479440063471	6.79836357836393	6.88940806898575	7.27764119234784	7.52860390865945	7.1959750828718	7.29377051111612	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
50	3945	LDHB	3945,3948,92483	gene	558	864	46	17	24.8279878820857	24.5534566821374	25.2832079507256	25.47071294895	25.6191615709092	25.475305422216	24.6432291491989	24.1120807268869	25.8745918518525	26.0790007954254	25.6796004372515	25.1225314156841	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
52	5313	PKLR	5313,5315	gene	483	770	46	17	14.6357478603126	14.6770342285512	14.438832266724	14.6940454382562	14.4560566855698	14.5098192610771	14.7221947161918	14.8282269525929	14.4499423276879	14.4967217210214	14.4535876175688	14.5844618887898	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
54	2023	ENO1	2023,2026,2027	gene	483	701	46	17	25.5336901706204	24.5478516517816	25.2562182878577	25.7266170138992	23.7518367900278	23.5132616599945	25.7438987808062	24.6985450699075	24.7065392854568	25.0908929777761	24.0643120978744	23.671068087407	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000	#FF0000
