exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,exp12
35753,1.28507973683054,0.741674804678723,-1.01182170668686,-1.34326318964838,0.158829798355424,-0.307953101142504,-1.65730883296047,0.443413461140727,-2.12412049606922,1.25992539623816,-0.704455727407866,-2.71943365841678
43149,0.947765375303027,-1.27214094559411,-0.299136385810282,2.63304213576336,0.761690044224658,0.925661391702033,1.44741496099118,1.03222771084039,-0.0140261072805644,0.642905510106184,-0.884155205515842,-0.260030924626275
35613,0.0591708417422774,1.83075397514462,0.200392992065782,-0.91079449699166,0.825900631117403,-1.17614847721857,-0.823968250307353,-0.0509150516583705,0.991085907498325,-0.25993713529064,0.0102980712259465,-0.958381533545811
3772221,-0.504484719776213,0.763644549666398,-0.467541533117837,1.31581583591233,1.3607052435039,0.207391923206687,1.45739854514608,-0.405768449555675,-1.17078638344941,0.375939572236401,0.629491400098619,0.62034714318475
36644,1.29982220368601,1.58632672793818,-1.28032739621561,1.18493561526445,0.940715354644919,-0.360153152828706,0.670212483634933,0.441787919317453,0.656422216644865,0.7929371166592,-0.903279885949243,-2.08117840625419
33199,-0.141115256872642,-0.131725392805316,-0.442151917212111,1.45468915679837,0.793400056313115,1.76505499065477,0.48608049819014,-0.640207087697479,-0.36437265347882,-0.172750607782402,-2.55799845038664,-0.918898969532838
34134,-0.58900286711477,0.771049360473847,-0.41294148141461,0.540636665227354,1.21428005693386,-1.05228417120598,-1.18576982592508,-1.56224298633259,-0.46875441564554,-0.918547154835745,-1.012644405095,0.0196021871936369
38815,0.474515343125025,0.390640707348194,1.14894008223948,-0.0371631111165408,-0.727721878326557,-0.537129036851586,0.680592287482415,0.0672601079305646,-0.749520507839747,0.911455335347456,0.426187633283117,1.1704053193348
31765,-0.211541273412135,-0.0205610962652744,-0.380609519086629,-0.662785429434614,1.33931792138278,1.03157207158672,-0.143941557261715,1.39986354529296,1.20752910106904,-1.15398900531704,0.191856077478986,2.92939150568942
3354996,-0.516368945447746,0.579530685872749,-0.835609797926383,-0.627734293341359,1.27616347840247,0.112563580279097,-0.0428283092379044,-0.228964222729879,-1.29604680502435,0.241512910011907,0.193857345892894,0.371512966703323
48986,-0.544277638288419,-0.583957157285803,-0.418045319892027,-0.178207726498399,-1.60436912494847,-0.746692101991512,-0.724858382566691,-1.12046770499758,1.97634283892106,-0.186472533940971,-0.471882840855239,-0.086279798118206
41047,-0.454576517888412,-0.76661589967722,0.081334050390325,-0.113222087298682,-0.0235405621053023,0.415349133156198,-0.473658292548602,-1.05630620421972,0.114880536116555,-0.227663935724129,1.76872999875673,1.14299538384859
31740,-1.34360892832985,0.291140892204255,0.897522259286249,-2.22791910104068,0.0267805441651122,0.605484442169059,-0.962037484745388,-1.13569021065166,-0.836836017568778,1.31966369113816,2.76807363261251,1.93316497997896
7354450,2.5641759406096,-3.02049136673781,0.649957289409754,0.314341182789522,-0.400905399194163,0.552579635403187,1.14676687489104,-1.07645943529357,-0.4200641129996,-0.535851941711224,-0.569545042952341,-0.303889892175424
36775,1.29836978125754,-1.79645967931765,-0.841583083434427,-0.612449860325182,1.4452307654199,-1.55493301116896,-1.09695604651328,-0.74313495075282,-1.52505070729122,0.0384216135768922,-0.169485087487477,0.101631872593372
33033,0.0157271371378927,0.166119743658492,0.657957897245405,-1.10071851453644,-1.17025895717364,-0.385222956050214,-0.362789441372595,0.568349328709083,0.441641908266803,0.612988990886018,1.01110005339145,-1.76355864619318
30981,0.723173572246202,0.384152175467499,0.519996915041171,0.806421827483467,1.13448739000372,1.01262670884162,-0.441137797659069,0.613281814365154,-0.528870020550958,1.30566460229554,1.87731147288293,-0.31926470646991
43229,-1.16661278008969,0.301550854746979,-0.0749157255999331,1.40376457048857,0.744886939794693,-0.713845588079946,0.378157842672793,-0.462830920972541,-0.921184698667017,-0.335158461224501,0.204215377927084,-1.83588611892406
43694,0.804347048614079,-0.258097648747966,0.409704822988221,1.33580350826303,-1.84053285976902,-0.800721792354187,0.964770822566303,-1.55332411310938,0.133352231876154,-0.612273040835636,-0.17234262527413,0.930746940635505
