aaa;Acidovorax avenae subsp. avenae ATCC 19860;2015-04-06 16:36:18;N;N;N
aac;Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446;2015-04-06 16:37:06;N;N;N
aad;Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1;2015-04-06 16:37:06;N;N;N
aae;Aquifex aeolicus;2015-04-06 16:38:28;N;N;N
aag;Aedes aegypti;2015-04-06 16:35:22;N;N;yellow fever mosquito
aai;Arthrobacter arilaitensis;2015-04-06 16:37:50;N;N;N
aan;Aggregatibacter actinomycetemcomitans D7S-1;2015-04-06 16:35:51;N;N;N
aao;Aggregatibacter actinomycetemcomitans ANH9381;2015-04-06 16:35:51;N;N;N
aap;Aggregatibacter aphrophilus;2015-04-06 16:35:51;N;N;N
aar;Acetohalobium arabaticum;2015-04-06 16:37:33;N;N;N
aas;Candidatus Amoebophilus asiaticus;2015-04-06 16:38:24;N;N;N
aat;Aggregatibacter actinomycetemcomitans D11S-1;2015-04-06 16:35:51;N;N;N
aau;Arthrobacter aurescens;2015-04-06 16:37:50;N;N;N
aav;Acidovorax avenae;2015-04-06 16:36:18;N;N;N
aba;Candidatus Koribacter versatilis;2015-04-06 16:38:11;N;N;N
abab;Acinetobacter baumannii BJAB0715;2015-04-06 16:36:00;N;N;N
abad;Acinetobacter baumannii D1279779;2015-04-06 16:36:00;N;N;N
abaj;Acinetobacter baumannii BJAB0868;2015-04-06 16:36:01;N;N;N
abaz;Acinetobacter baumannii ZW85-1;2015-04-06 16:36:01;N;N;N
abb;Acinetobacter baumannii AB307-0294;2015-04-06 16:36:00;N;N;N
abc;Acinetobacter baumannii ACICU;2015-04-06 16:36:00;N;N;N
abd;Acinetobacter baumannii TCDC-AB0715;2015-04-06 16:36:00;N;N;N
abe;Arthroderma benhamiae;2015-04-06 16:35:28;N;N;N
abh;Acinetobacter baumannii TYTH-1;2015-04-06 16:36:00;N;N;N
abi;Aciduliprofundum boonei;2015-04-06 16:38:39;N;N;N
abj;Acinetobacter baumannii BJAB07104;2015-04-06 16:36:00;N;N;N
abl;Arcobacter butzleri 7h1h;2015-04-06 16:36:29;N;N;N
abm;Acinetobacter baumannii SDF;2015-04-06 16:35:59;N;N;N
abn;Acinetobacter baumannii AB0057;2015-04-06 16:36:00;N;N;N
abo;Alcanivorax borkumensis;2015-04-06 16:36:09;N;N;N
abr;Acinetobacter baumannii MDR-TJ;2015-04-06 16:36:00;N;N;N
abs;Azospirillum brasilense;2015-04-06 16:36:51;N;N;N
abt;Arcobacter butzleri ED-1;2015-04-06 16:36:29;N;N;N
