aaa,00010
aaa,00020
aaa,00030
aaa,00040
aaa,00051
aaa,00052
aaa,00053
aaa,00061
aaa,00071
aaa,00072
aaa,00130
aaa,00190
aaa,00230
aaa,00240
aaa,00250
aaa,00260
aaa,00261
aaa,00270
aaa,00280
aaa,00281
aaa,00290
aaa,00300
aaa,00310
aaa,00311
aaa,00330
aaa,00332
aaa,00340
aaa,00350
aaa,00360
aaa,00361
aaa,00362
aaa,00364
aaa,00380
aaa,00400
aaa,00401
aaa,00410
aaa,00430
aaa,00440
aaa,00450
aaa,00460
aaa,00471
aaa,00473
aaa,00480
aaa,00500
aaa,00520
aaa,00521
aaa,00523
aaa,00540
aaa,00550
aaa,00561
aaa,00562
aaa,00564
aaa,00565
aaa,00590
aaa,00592
aaa,00620
aaa,00621
aaa,00622
aaa,00623
aaa,00624
aaa,00625
aaa,00626
aaa,00627
aaa,00630
aaa,00633
aaa,00640
aaa,00642
aaa,00643
aaa,00650
aaa,00660
aaa,00670
aaa,00680
aaa,00730
aaa,00740
aaa,00750
aaa,00760
aaa,00770
aaa,00780
aaa,00785
aaa,00790
aaa,00860
aaa,00900
aaa,00903
aaa,00906
aaa,00910
aaa,00920
aaa,00930
aaa,00970
aaa,01040
aaa,01054
aaa,01100
aaa,01110
aaa,01120
aaa,01130
aaa,01200
aaa,01210
aaa,01212
aaa,01220
aaa,01230
aaa,01501
aaa,01502
aaa,01503
aaa,02010
aaa,02020
aaa,02030
aaa,02040
aaa,02060
aaa,03010
aaa,03018
aaa,03020
aaa,03030
aaa,03060
aaa,03070
aaa,03410
aaa,03420
aaa,03430
aaa,03440
aaa,03450
aaa,04122
aaa,00010
aaa,00020
aaa,00030
aaa,00040
aaa,00051
aaa,00052
aaa,00053
aaa,00061
aaa,00071
aaa,00072
aaa,00130
aaa,00190
aaa,00230
aaa,00240
aaa,00250
aaa,00260
aaa,00261
aaa,00270
aaa,00280
aaa,00281
aaa,00290
aaa,00300
aaa,00310
aaa,00311
aaa,00330
aaa,00332
aaa,00340
aaa,00350
aaa,00360
aaa,00361
aaa,00362
aaa,00364
aaa,00380
aaa,00400
aaa,00401
aaa,00410
aaa,00430
aaa,00440
aaa,00450
aaa,00460
aaa,00471
aaa,00473
aaa,00480
aaa,00500
aaa,00520
aaa,00521
aaa,00523
aaa,00540
aaa,00550
