kegg.names labels type x y width height kegg.names mol.col
118 C00247 C00247 compound 223 92 8 8 NA #FFFFFF
119 C00267 C00267 compound 135 147 8 8 NA #FFFFFF
120 C01094 C01094 compound 397 978 8 8 NA #FFFFFF
121 C00159 C00159 compound 223 306 8 8 NA #FFFFFF
122 C00275 C00275 compound 397 306 8 8 NA #FFFFFF
123 C00392 C00392 compound 505 174 8 8 NA #FFFFFF
124 C00644 C00644 compound 878 174 8 8 NA #FFFFFF
125 C03267 C03267 compound 548 221 8 8 NA #FFFFFF
126 C00665 C00665 compound 822 221 8 8 NA #FFFFFF
127 C00794 C00794 compound 895 469 8 8 NA #FFFFFF
128 C00464 C00464 compound 223 410 8 8 NA #FFFFFF
129 C02492 C02492 compound 149 451 8 8 NA #FFFFFF
130 C01096 C01096 compound 895 379 8 8 NA #FFFFFF
131 C00325 C00325 compound 397 598 8 8 NA #FFFFFF
132 C01768 C01768 compound 622 393 8 8 NA #FFFFFF
133 C00577 C00577 compound 877 818 8 8 NA #FFFFFF
134 C00507 C00507 compound 223 883 8 8 NA #FFFFFF
135 C00861 C00861 compound 223 942 8 8 NA #FFFFFF
136 C01131 C01131 compound 397 942 8 8 NA #FFFFFF
137 C02431 C02431 compound 223 840 8 8 NA #FFFFFF
138 C01934 C01934 compound 404 840 8 8 NA #FFFFFF
139 C03979 C03979 compound 499 840 8 8 NA #FFFFFF
140 C00118 C00118 compound 823 618 8 8 NA #FFFFFF
141 C00096 C00096 compound 397 450 8 8 NA #FFFFFF
142 C05345 C05345 compound 823 306 8 8 NA #FFFFFF
143 C00976 C00976 compound 522 393 8 8 NA #FFFFFF
144 C01222 C01222 compound 397 540 8 8 NA #FFFFFF
145 C02985 C02985 compound 397 665 8 8 NA #FFFFFF
146 C05392 C05392 compound 722 393 8 8 NA #FFFFFF
152 C02977 C02977 compound 608 539 8 8 NA #FFFFFF
153 C03117 C03117 compound 608 600 8 8 NA #FFFFFF
154 C00095 C00095 compound 223 221 8 8 NA #FFFFFF
155 C00794 C00794 compound 223 147 8 8 NA #FFFFFF
156 C00636 C00636 compound 397 370 8 8 NA #FFFFFF
157 C05378 C05378 compound 823 530 8 8 NA #FFFFFF
158 C02991 C02991 compound 309 840 8 8 NA #FFFFFF
159 C01355 C01355 compound 323 253 8 8 NA #FFFFFF
160 C01019 C01019 compound 223 665 8 8 NA #FFFFFF
168 C00111 C00111 compound 823 724 8 8 NA #FFFFFF
169 C01099 C01099 compound 397 724 8 8 NA #FFFFFF
170 C01721 C01721 compound 223 724 8 8 NA #FFFFFF
171 C06192 C06192 compound 302 370 8 8 NA #FFFFFF
172 C02888 C02888 compound 948 436 8 8 NA #FFFFFF
173 C00247 C00247 compound 948 512 8 8 NA #FFFFFF
184 C18096 C18096 compound 926 235 8 8 NA #FFFFFF
187 C02962 C02962 compound 926 170 8 8 NA #FFFFFF
189 C01487 C01487 compound 926 107 8 8 NA #FFFFFF
192 C18028 C18028 compound 309 766 8 8 NA #FFFFFF
194 C01720 C01720 compound 404 766 8 8 NA #FFFFFF
196 C03827 C03827 compound 499 766 8 8 NA #FFFFFF
199 C20781 C20781 compound 594 766 8 8 NA #FFFFFF
205 C00424 C00424 compound 689 840 8 8 NA #FFFFFF
208 C00186 C00186 compound 689 766 8 8 NA #FFFFFF
212 C11544 C11544 compound 710 453 8 8 NA #FFFFFF
216 C11516 C11516 compound 613 453 8 8 NA #FFFFFF
