kegg.names labels type x y width height X8hTrt_8hCult1 X8hTrt_8hCult2 X8hTrt_8hCult1.col X8hTrt_8hCult2.col
41 5305 PIP4K2A gene 484 96 46 17 0.00396606999999999 -0.142323828 #BEBEBE #BEBEBE
43 3633 INPP5B gene 532 182 46 17 0.318955215 0.68637036 #CE8F8F #EF3030
44 253430 IPMK gene 54 316 46 17 -0.119463017 -0.109691249 #BEBEBE #BEBEBE
45 253430 IPMK gene 136 434 46 17 -0.119463017 -0.109691249 #BEBEBE #BEBEBE
46 5728 PTEN gene 617 94 46 17 -0.240704889 -0.348766386 #8FCE8F #8FCE8F
47 9562 MINPP1 gene 174 271 46 17 0.255671468 -0.106706243 #CE8F8F #BEBEBE
48 3632 INPP5A gene 174 304 46 17 -0.619875905 -0.168446328 #30EF30 #BEBEBE
49 3706 ITPKA gene 174 238 46 17 -0.772978015 -0.139716631 #30EF30 #BEBEBE
50 3705 ITPK1 gene 174 336 46 17 -0.253009021 -0.211256005 #8FCE8F #8FCE8F
53 3705 ITPK1 gene 233 348 46 17 -0.253009021 -0.211256005 #8FCE8F #8FCE8F
55 3705 ITPK1 gene 234 472 46 17 -0.253009021 -0.211256005 #8FCE8F #8FCE8F
56 3632 INPP5A gene 284 238 46 17 -0.619875905 -0.168446328 #30EF30 #BEBEBE
57 3628 INPP1 gene 284 304 46 17 -0.324244999 -0.041884191 #8FCE8F #BEBEBE
58 3628 INPP1 gene 389 238 46 17 -0.324244999 -0.041884191 #8FCE8F #BEBEBE
59 3631 INPP4A gene 389 304 46 17 -1.090953074 -0.77672752 #00FF00 #30EF30
60 4534 MTM1 gene 716 339 46 17 0.155430585 0.110165747 #BEBEBE #BEBEBE
62 51477 ISYNA1 gene 403 264 46 17 -0.481727867 -0.444675457 #5FDF5F #5FDF5F
63 3612 IMPA1 gene 498 238 46 17 -0.791363987 -0.857827433 #30EF30 #00FF00
64 3612 IMPA1 gene 498 304 46 17 -0.791363987 -0.857827433 #30EF30 #00FF00
65 55586 MIOX gene 510 484 46 17 0.24691172 0.117710718 #CE8F8F #BEBEBE
67 5297 PI4KA gene 711 231 46 17 -0.509720919 -0.564303731 #5FDF5F #5FDF5F
69 8394 PIP5K1A gene 582 182 46 17 -0.526684601 0.26327683 #5FDF5F #CE8F8F
70 5289 PIK3C3 gene 820 199 46 17 -0.023653948 -0.074139214 #BEBEBE #BEBEBE
71 4534 MTM1 gene 870 199 46 17 0.155430585 0.110165747 #BEBEBE #BEBEBE
74 3612 IMPA1 gene 617 294 46 17 -0.791363987 -0.857827433 #30EF30 #00FF00
75 5330 PLCB2 gene 397 150 46 17 -1.816413297 0.457271744 #00FF00 #DF5F5F
79 64768 IPPK gene 168 473 46 17 0.323554362 0.064075282 #CE8F8F #BEBEBE
80 5290 PIK3CA gene 617 150 46 17 -0.704475894 -0.962274223 #30EF30 #00FF00
129 4329 ALDH6A1 gene 944 511 46 17 -0.369493425 -0.137379422 #8FCE8F #BEBEBE
130 7167 TPI1 gene 944 558 46 17 -0.070039204 -0.02728561 #BEBEBE #BEBEBE
134 200576 PIKFYVE gene 846 127 46 17 0.13111155 0.066643292 #BEBEBE #BEBEBE
136 10423 CDIPT gene 712 263 46 17 0.052473677 -0.001478136 #BEBEBE #BEBEBE
139 3631 INPP4A gene 765 156 46 17 -1.090953074 -0.77672752 #00FF00 #30EF30
141 5286 PIK3C2A gene 617 216 46 17 0.217614731 -0.061218436 #CE8F8F #BEBEBE
143 3635 INPP5D gene 679 123 46 17 0.177063009 0.037343625 #BEBEBE #BEBEBE
