kegg.names labels type x y width height kegg.names mol.col
25 C00222 C00222 compound 268 327 8 8 NA #FFFFFF
26 C00804 C00804 compound 265 449 8 8 NA #FFFFFF
27 C01013 C01013 compound 367 327 8 8 NA #FFFFFF
28 C00099 C00099 compound 368 388 8 8 NA #FFFFFF
30 C00083 C00083 compound 265 228 8 8 NA #FFFFFF
84 C02614 C02614 compound 555 116 8 8 NA #FFFFFF
85 C00109 C00109 compound 650 91 8 8 NA #FFFFFF
86 C02876 C02876 compound 775 88 8 8 NA #FFFFFF
87 C00163 C00163 compound 775 157 8 8 NA #FFFFFF
88 C01234 C01234 compound 555 63 8 8 NA #FFFFFF
89 C00186 C00186 compound 549 157 8 8 NA #FFFFFF
90 C00827 C00827 compound 549 228 8 8 NA #FFFFFF
91 C00894 C00894 compound 549 327 8 8 NA #FFFFFF
92 C00100 C00100 compound 776 324 8 8 NA #FFFFFF
93 C00683 C00683 compound 777 454 8 8 NA #FFFFFF
94 C02170 C02170 compound 867 454 8 8 NA #FFFFFF
95 C02335 C02335 compound 462 388 8 8 NA #FFFFFF
96 C05668 C05668 compound 461 327 8 8 NA #FFFFFF
97 C05984 C05984 compound 555 91 8 8 NA #FFFFFF
98 C05989 C05989 compound 461 228 8 8 NA #FFFFFF
99 C05983 C05983 compound 775 228 8 8 NA #FFFFFF
100 C01213 C01213 compound 777 538 8 8 NA #FFFFFF
110 C04225 C04225 compound 996 532 8 8 NA #FFFFFF
113 C00091 C00091 compound 777 619 8 8 NA #FFFFFF
114 C02225 C02225 compound 996 433 8 8 NA #FFFFFF
122 C00042 C00042 compound 888 619 8 8 NA #FFFFFF
123 C04593 C04593 compound 995 619 8 8 NA #FFFFFF
128 C00024 C00024 compound 133 227 8 8 NA #FFFFFF
129 C00132 C00132 compound 129 649 8 8 NA #FFFFFF
136 C01845 C01845 compound 223 520 8 8 NA #FFFFFF
137 C00207 C00207 compound 129 520 8 8 NA #FFFFFF
138 C00164 C00164 compound 129 454 8 8 NA #FFFFFF
139 C00332 C00332 compound 129 379 8 8 NA #FFFFFF
141 C20783 C20783 compound 223 454 8 8 NA #FFFFFF
146 C17530 C17530 compound 129 585 8 8 NA #FFFFFF
150 C00033 C00033 compound 81 632 8 8 NA #FFFFFF
155 C05979 C05979 compound 626 581 8 8 NA #FFFFFF
158 C00479 C00479 compound 626 468 8 8 NA #FFFFFF
166 C00111 C00111 compound 329 581 8 8 NA #FFFFFF
167 C00583 C00583 compound 537 468 8 8 NA #FFFFFF
168 C00424 C00424 compound 537 581 8 8 NA #FFFFFF
172 C05235 C05235 compound 434 468 8 8 NA #FFFFFF
173 C00546 C00546 compound 434 581 8 8 NA #FFFFFF
177 C06002 C06002 compound 920 454 8 8 NA #FFFFFF
