kegg.names labels type x y width height kegg.names mol.col
98 C01151 C01151 compound 692 603 8 8 NA #FFFFFF
99 C00668 C00668 compound 201 383 8 8 NA #FFFFFF
100 C00118 C00118 compound 818 320 8 8 NA #FFFFFF
101 C00022 C00022 compound 778 228 8 8 NA #FFFFFF
102 C00257 C00257 compound 529 155 8 8 NA #FFFFFF
103 C00198 C00198 compound 331 155 8 8 NA #FFFFFF
104 C00031 C00031 compound 201 203 8 8 NA #FFFFFF
105 C00221 C00221 compound 201 155 8 8 NA #FFFFFF
106 C00345 C00345 compound 529 320 8 8 NA #FFFFFF
107 C00204 C00204 compound 666 155 8 8 NA #FFFFFF
108 C03752 C03752 compound 576 383 8 8 NA #FFFFFF
109 C04442 C04442 compound 666 320 8 8 NA #FFFFFF
110 C00117 C00117 compound 529 520 8 8 NA #FFFFFF
111 C00119 C00119 compound 529 603 8 8 NA #FFFFFF
112 C00620 C00620 compound 692 551 8 8 NA #FFFFFF
113 C00121 C00121 compound 692 520 8 8 NA #FFFFFF
114 C00279 C00279 compound 363 477 8 8 NA #FFFFFF
115 C01218 C01218 compound 450 276 8 8 NA #FFFFFF
116 C05382 C05382 compound 363 584 8 8 NA #FFFFFF
117 C01801 C01801 compound 465 663 8 8 NA #FFFFFF
118 C00673 C00673 compound 331 694 8 8 NA #FFFFFF
119 C00118 C00118 compound 201 602 8 8 NA #FFFFFF
120 C05378 C05378 compound 201 523 8 8 NA #FFFFFF
121 C01172 C01172 compound 201 320 8 8 NA #FFFFFF
122 C01236 C01236 compound 365 320 8 8 NA #FFFFFF
123 C06473 C06473 compound 450 215 8 8 NA #FFFFFF
124 C05345 C05345 compound 201 446 8 8 NA #FFFFFF
125 C00672 C00672 compound 465 694 8 8 NA #FFFFFF
126 C00577 C00577 compound 818 155 8 8 NA #FFFFFF
127 C00258 C00258 compound 916 155 8 8 NA #FFFFFF
128 C00631 C00631 compound 1002 155 8 8 NA #FFFFFF
129 C00231 C00231 compound 422 446 8 8 NA #FFFFFF
130 C00231 C00231 compound 331 638 8 8 NA #FFFFFF
131 C00199 C00199 compound 529 446 8 8 NA #FFFFFF
132 C06019 C06019 compound 365 383 8 8 NA #FFFFFF
138 C20589 C20589 compound 666 383 8 8 NA #FFFFFF
142 C03752 C03752 compound 666 77 8 8 NA #FFFFFF
145 C00197 C00197 compound 916 320 8 8 NA #FFFFFF
