kegg.names labels type x y width height X8hTrt_8hCult1 X8hTrt_8hCult2 X8hTrt_8hCult1.col X8hTrt_8hCult2.col
13 226 ALDOA gene 483 407 46 17 -0.230813808 0.094586017 #8FCE8F #BEBEBE
37 217 ALDH2 gene 284 943 46 17 -1.218217381 -0.969508684 #00FF00 #00FF00
39 218 ALDH3A1 gene 259 964 46 17 -1.253773788 -0.295042018 #00FF00 #8FCE8F
44 10327 AKR1A1 gene 487 943 46 17 -0.076579479 -0.118824582 #BEBEBE #BEBEBE
45 124 ADH1A gene 439 936 46 17 0.514702369 0.576151255 #DF5F5F #DF5F5F
47 5160 PDHA1 gene 431 853 46 17 0.251664012 0.082222768 #CE8F8F #BEBEBE
48 5160 PDHA1 gene 319 865 46 17 0.251664012 0.082222768 #CE8F8F #BEBEBE
49 1737 DLAT gene 210 865 46 17 -0.013417229 0.055986833 #BEBEBE #BEBEBE
50 3939 LDHA gene 558 864 46 17 -0.443592155 0.364767379 #5FDF5F #CE8F8F
52 5313 PKLR gene 483 770 46 17 -0.315277893 -0.004072732 #8FCE8F #BEBEBE
54 2023 ENO1 gene 483 701 46 17 0.471363225 0.064171282 #DF5F5F #BEBEBE
55 669 BPGM gene 458 630 46 17 0.146266088 0.280847638 #BEBEBE #CE8F8F
56 2597 GAPDH gene 458 484 46 17 0.186186229 0.178650288 #BEBEBE #BEBEBE
57 7167 TPI1 gene 386 449 46 17 -0.070039204 -0.02728561 #BEBEBE #BEBEBE
58 5211 PFKL gene 458 336 46 17 -0.15258976 0.072598397 #BEBEBE #BEBEBE
59 2203 FBP1 gene 408 336 46 17 -0.450871268 -0.030641243 #5FDF5F #BEBEBE
61 2821 GPI gene 483 265 46 17 -0.093279037 -0.004863678 #BEBEBE #BEBEBE
62 5236 PGM1 gene 483 178 46 17 0.270660962 0.068888965 #CE8F8F #BEBEBE
63 2821 GPI gene 385 302 46 17 -0.093279037 -0.004863678 #BEBEBE #BEBEBE
64 3098 HK1 gene 233 291 46 17 -1.122951001 -0.985587451 #00FF00 #00FF00
65 2645 GCK gene 233 312 46 17 -0.082615654 0.217234849 #BEBEBE #CE8F8F
66 2821 GPI gene 357 264 46 17 -0.093279037 -0.004863678 #BEBEBE #BEBEBE
68 130589 GALM gene 181 264 46 17 -0.485712751 -0.080815128 #5FDF5F #BEBEBE
69 2645 GCK gene 233 239 46 17 -0.082615654 0.217234849 #BEBEBE #CE8F8F
70 3098 HK1 gene 233 218 46 17 -1.122951001 -0.985587451 #00FF00 #00FF00
71 2538 G6PC gene 316 193 46 17 -0.017842145 0.50249319 #BEBEBE #DF5F5F
75 1738 DLD gene 262 908 46 17 0.111504802 0.090996091 #BEBEBE #BEBEBE
76 5230 PGK1 gene 483 557 46 17 -0.27368228 -0.218432237 #8FCE8F #8FCE8F
112 5105 PCK1 gene 239 726 46 17 0.120703054 0.142984809 #BEBEBE #BEBEBE
128 669 BPGM gene 531 593 46 17 0.043444774 0.315057984 #BEBEBE #CE8F8F
129 669 BPGM gene 531 521 46 17 0.043444774 0.315057984 #BEBEBE #CE8F8F
131 55902 ACSS2 gene 96 911 46 17 -0.542335373 0.015529415 #5FDF5F #BEBEBE
133 83440 ADPGK gene 281 239 46 17 0.020584814 -0.082293633 #BEBEBE #BEBEBE
134 83440 ADPGK gene 281 312 46 17 0.020584814 -0.082293633 #BEBEBE #BEBEBE
140 9562 MINPP1 gene 571 630 46 17 0.255671468 -0.106706243 #CE8F8F #BEBEBE
