kegg.names labels type x y width height X8hTrt_8hCult1 X8hTrt_8hCult2 X8hTrt_8hCult1.col X8hTrt_8hCult2.col
29 1738 DLD gene 467 618 46 17 0.111504802 0.090996091 #BEBEBE #BEBEBE
30 4967 OGDH gene 661 574 46 17 -0.249095684 0.052130452 #8FCE8F #BEBEBE
31 4967 OGDH gene 530 575 46 17 -0.249095684 0.052130452 #8FCE8F #BEBEBE
32 1743 DLST gene 403 574 46 17 0.229952352 0.075606696 #CE8F8F #BEBEBE
33 8801 SUCLG2 gene 260 574 46 17 0.221702223 0.405813324 #CE8F8F #DF5F5F
34 8801 SUCLG2 gene 260 555 46 17 0.221702223 0.405813324 #CE8F8F #DF5F5F
35 3417 IDH1 gene 718 505 46 17 0.055533995 0.093299131 #BEBEBE #BEBEBE
36 3419 IDH3A gene 766 458 46 17 0.070299466 -0.25601183 #BEBEBE #8FCE8F
37 3417 IDH1 gene 718 400 46 17 0.055533995 0.093299131 #BEBEBE #BEBEBE
38 47 ACLY gene 434 355 46 17 0.639503042 0.337259734 #EF3030 #CE8F8F
39 2271 FH gene 191 436 46 17 0.186533677 0.056308163 #BEBEBE #BEBEBE
40 48 ACO1 gene 670 345 46 17 -0.315434565 -0.395506874 #8FCE8F #8FCE8F
41 48 ACO1 gene 571 345 46 17 -0.315434565 -0.395506874 #8FCE8F #8FCE8F
42 1431 CS gene 434 334 46 17 0.129021381 0.249943989 #BEBEBE #CE8F8F
43 4190 MDH1 gene 253 344 46 17 -0.141406114 0.05125358 #BEBEBE #BEBEBE
44 5091 PC gene 736 278 46 17 -0.389589138 -0.11607768 #8FCE8F #BEBEBE
77 5160 PDHA1 gene 686 241 46 17 0.251664012 0.082222768 #CE8F8F #BEBEBE
79 5160 PDHA1 gene 582 241 46 17 0.251664012 0.082222768 #CE8F8F #BEBEBE
82 1738 DLD gene 529 285 46 17 0.111504802 0.090996091 #BEBEBE #BEBEBE
84 1737 DLAT gene 464 242 46 17 -0.013417229 0.055986833 #BEBEBE #BEBEBE
90 5105 PCK1 gene 371 117 46 17 0.120703054 0.142984809 #BEBEBE #BEBEBE
95 6389 SDHA gene 215 530 46 17 0.08488128 0.071859414 #BEBEBE #BEBEBE
